id,title,category,tag,keywords,audio_url,description,published
prime_number_girl_jingle01_gold,豪華なジングル,UI・操作,解説動画向け,ジングル,assets/sounds/prime_number_girl_jingle01_gold.mp3,ゴージャスなジングル,TRUE
prime_number_girl_jingle01_silver,普通のジングル,UI・操作,解説動画向け,ジングル,assets/sounds/prime_number_girl_jingle01_silver.mp3,普通なジングル,TRUE
prime_number_girl_se01_correct,ピンポン,UI・操作,解説動画向け,"クイズ,正解,ピンポン",assets/sounds/prime_number_girl_se01_correct.mp3,正解,TRUE
prime_number_girl_se02_1_incorrect,短いブブッ,UI・操作,解説動画向け,"クイズ,不正解,ブブー",assets/sounds/prime_number_girl_se02_1_incorrect.mp3,不正解01,TRUE
prime_number_girl_se02_incorrect,長めのブブー,UI・操作,解説動画向け,"クイズ,不正解,ブブー",assets/sounds/prime_number_girl_se02_incorrect.mp3,不正解02,TRUE
prime_number_girl_se03_start,キラーン,UI・操作,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","スタート,決定,選択",assets/sounds/prime_number_girl_se03_start.mp3,明るい決定音,TRUE
prime_number_girl_se04_1_girl_change,ポワ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/prime_number_girl_se04_1_girl_change.mp3,柔らかいボタン,TRUE
prime_number_girl_se04_girl_change,チャン,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/prime_number_girl_se04_girl_change.mp3,鋭い決定音,TRUE
FILLIT_追加_SE_ストーン_pt01,シャッ（余韻）,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_追加_SE_ストーン_pt01.mp3,変更操作,TRUE
FILLIT_追加_SE_ストーン_pt02,シュッ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_追加_SE_ストーン_pt02.mp3,変更操作,TRUE
FILLIT_追加_SE_ストーン_pt03,シャッ（余韻）,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_追加_SE_ストーン_pt03.mp3,変更操作,TRUE
FILLIT_追加_SE_移動_pt01,クチュ,"UI・操作,生活・日常","RPGゲーム向け,生活・日常向け","移動,足音,泥",assets/sounds/FILLIT_追加_SE_移動_pt01.mp3,足音,TRUE
FILLIT_追加_SE_移動_pt02,ポム,"UI・操作,魔法・ファンタジー","RPGゲーム向け,生活・日常向け","移動,足音,かわいい",assets/sounds/FILLIT_追加_SE_移動_pt02.mp3,足音,TRUE
